model,family,n_datasets,auc,auc_lo,auc_hi,eps,eps_lo,eps_hi,commit_pt,commit_pt_lo,commit_pt_hi,commit_run,commit_run_lo,commit_run_hi,sscs,sscs_lo,sscs_hi,sscsp,sscsp_lo,sscsp_hi,cov,cov_lo,cov_hi,width,width_lo,width_hi
PFN-v2,TFM,39,0.9577026867660836,0.9460517717995761,0.9683048954920599,0.05081817284475318,0.037265283047893435,0.06344835286785468,0.9491818271552469,0.9365516471321452,0.9627347169521064,0.34615384615384615,0.20769230769230773,0.4948717948717949,0.3086593565057853,0.18612098869354812,0.44055751973326807,0.9467806932668764,0.9315476147679214,0.9607532286586341,0.9003177265655119,0.896105884814378,0.904643434274841,0.9790027916816185,0.9534688694137077,1.0079743938563388
tabpfn,TFM,39,0.9555776714736399,0.9434254953742102,0.9668696216205824,0.051461008760167015,0.03731107989370296,0.06459983867668324,0.948538991239833,0.9354001613233167,0.9626889201062973,0.34102564102564104,0.20769230769230768,0.48717948717948717,0.30362407308511546,0.18544002646254348,0.4341897926879146,0.9449090229122705,0.9295877732765013,0.9592805069405099,0.8984747884446384,0.8946689712132061,0.9024213843695063,0.9843861472134816,0.9554614743714022,1.0170737474658227
mitra,TFM,39,0.9543885487522857,0.9414641686992524,0.9661668158272781,0.050139966651338894,0.036059708286898993,0.06322529369146565,0.9498600333486612,0.9367747063085343,0.963940291713101,0.38461538461538464,0.24615384615384614,0.5359615384615388,0.342954100225776,0.21919054215283773,0.4783589941812803,0.9446130450042193,0.928614232219057,0.9590323195606342,0.9005735782493196,0.8966732416733211,0.9047242290730318,0.9957849215352922,0.9635869017187021,1.0317681269625703
resnet,deep,39,0.9510422376343024,0.9368281736764643,0.9638773424948947,0.04956782127022844,0.03513294934571849,0.06300750874477548,0.9504321787297716,0.9369924912552244,0.9648670506542815,0.40512820512820513,0.2666025641025641,0.5589743589743589,0.35930016666676234,0.23671356839273153,0.4957417211182241,0.9413092326381554,0.9248522046558116,0.9567873563899205,0.8988618268897287,0.8949857913191883,0.9029009554572555,1.0033779569530255,0.9681465544191519,1.0424947881511715
mlp,deep,39,0.9492918760191281,0.9349469078032139,0.9626013261062983,0.04857076115809124,0.034493996535431524,0.061699857951494144,0.9514292388419088,0.9383001420485059,0.9655060034645687,0.4051282051282051,0.2641025641025641,0.5589743589743589,0.3582954966374008,0.23500294498362875,0.49448786974385567,0.9400862269220424,0.9228320066200126,0.955859237460596,0.8996866907748793,0.895738352170259,0.9035871795282598,1.0112197541291423,0.9740261323937779,1.0518982912559915
catboost,GBDT,39,0.9477714635925557,0.9327121021574639,0.9616047615301256,0.047187162307356964,0.033294158834532746,0.060587574856822674,0.9528128376926429,0.9394124251431774,0.9667058411654673,0.4307692307692308,0.28974358974358977,0.5871794871794871,0.3796088820410608,0.2556192918416482,0.5177522031028683,0.9376067548099605,0.9196429049575509,0.9539185822066854,0.899368058906571,0.8957100107114353,0.9031169857853213,1.0196428100213537,0.9803856869247736,1.0623644589162222
xgboost,GBDT,39,0.9422961865546347,0.9252789903873195,0.9577390965252683,0.047054018071437775,0.03282344626053682,0.06069862704537594,0.9529459819285623,0.9393013729546241,0.9671765537394633,0.45128205128205134,0.3076923076923077,0.6076923076923076,0.3947472084027848,0.26946924447863224,0.5317124461508228,0.933598901920173,0.9145042941948582,0.9509524310648297,0.8978684140075953,0.894026308880152,0.9016770079703352,1.0344849602230102,0.9903379070690038,1.082675845721525
lightgbm,GBDT,39,0.9414648232714671,0.9242431779770518,0.9572170081418407,0.04622409248839749,0.032069326529091655,0.06001999225290053,0.9537759075116026,0.9399800077470993,0.9679306734709083,0.4666666666666667,0.32051282051282054,0.6205128205128205,0.40812288559776744,0.2803542118300954,0.5420964810822753,0.9335797765138085,0.9145045016523129,0.9510930658040415,0.8991908486492645,0.8957254367538475,0.9026286914461058,1.039412266317158,0.9941088081702633,1.0889423553869393
knn,classic,39,0.9406378766649226,0.9224376657259424,0.9570787899008745,0.032775876515174475,0.022433604461332732,0.04313810898760854,0.9672241234848254,0.9568618910123916,0.9775663955386673,0.45641025641025645,0.3153846153846154,0.6128205128205128,0.3992069771281589,0.27550705455649444,0.5349964603849865,0.933290382465365,0.9139293523805907,0.9509317618255874,0.9130174830727865,0.9069219961646395,0.9193322694906224,1.0583303973588973,1.0132757482008599,1.1064645775339845
ftt,deep,39,0.9378432754790312,0.9182451732697217,0.9554229412531409,0.048025596496507776,0.03355822444370809,0.062014342281589564,0.9519744035034922,0.9379856577184104,0.9664417755562921,0.45128205128205123,0.30762820512820516,0.6076923076923076,0.39236029585734994,0.26566368464506673,0.5284887199836006,0.9318391837417221,0.9117474240522812,0.95022817436024,0.8980763126612863,0.8943291353110836,0.9016295313415544,1.0471150496122632,0.9962469071765088,1.1032261958120126
tabm,deep,39,0.9280595200106058,0.9042676905057137,0.9490243135958347,0.0467528564002868,0.03252400572307316,0.06061938802073333,0.9532471435997133,0.9393806119792666,0.9674759942769268,0.458974358974359,0.3102564102564103,0.6153846153846154,0.393377069604273,0.26699968777314304,0.5276686328489213,0.9258292694679889,0.9032802585950681,0.9464326785154468,0.898973499903756,0.894930623014266,0.9030547061666933,1.0761110998299523,1.0147845527013062,1.1415464601479648
LogReg,classic,39,0.904987804879924,0.8746949413689455,0.9322579409434234,0.04670813548505678,0.03208488697776704,0.060738649268740806,0.9532918645149433,0.939261350731259,0.967915113022233,0.48717948717948717,0.3333333333333333,0.6410256410256411,0.4055741616239151,0.27797035988470015,0.5361544456765939,0.9125147638097396,0.8858675218262761,0.9367771524808152,0.8994600254857114,0.8951740088675946,0.9037366414665845,1.1387423908534302,1.0623733427338873,1.2206541927609496
