scope,metric,n_rows,n_datasets,zero_diff_share,med_se_ratio,med_se_ratio_q25,med_se_ratio_q75,sep_point_t2,sep_point_t39,sep_seed_t2,sep_seed_t39,sep_combined_t2,sep_combined_t39,sep_seed_minus_point_t2
"all pairs, median over datasets",width,26103,113,0.000727885683637896,1.0207865072485558,0.7267551181176112,1.196794816833931,0.5988200589970502,0.41313259012374054,0.6094318660690342,0.3703405738803969,0.46845190208022064,0.2617706776998812,0.010611807071984058
"all pairs, median over datasets",width_fb,26103,113,0.30092326552503545,1.185947158613859,1.0632094854330227,1.7755620335581228,0.5160326399264452,0.37696816457878407,0.4406390070106884,0.2754855763705321,0.3822166034555415,0.21334712485154964,-0.07539363291575679
knn excluded (190 pairs),accuracy,23730,113,0.01571849978929625,0.48271495651157253,0.3505438868994364,0.6612866469751483,0.46582385166455964,0.2091866835229667,0.6742941424357354,0.4612726506531816,0.4015170670037927,0.1698693636746734,0.20847029077117574
knn excluded (190 pairs),brier,23730,113,0.0,0.43920074608270543,0.2608868070189914,0.8750883566176775,0.6617361989043405,0.42545301306363253,0.8077960387694901,0.6134850400337126,0.580362410450906,0.27488411293721027,0.1460598398651496
knn excluded (190 pairs),coverage,23730,113,0.002486304256215761,0.5962062209744616,0.4631827401030826,0.7657264181465597,0.10501474926253687,0.008048883270122207,0.3334597555836494,0.08478718921196797,0.05297092288242731,0.0046776232616940585,0.2284450063211125
knn excluded (190 pairs),eps,23730,113,0.5156342182890855,0.7238207832213344,0.5197276078096749,1.1057355913888873,0.19013906447534767,0.10400337126000843,0.2260008428150021,0.11053518752633797,0.12743362831858407,0.05908133164770333,0.035861778339654427
knn excluded (190 pairs),width,23730,113,0.0008006742520016856,0.9622980426108988,0.6652672769664374,1.395964829283602,0.5724399494310999,0.38550358196375895,0.590307627475769,0.3497260851243152,0.44348925410872314,0.2402022756005057,0.017867678044669155
knn excluded (190 pairs),width_fb,23730,113,0.31171512852928784,1.2358692705553627,0.9106491903169234,1.7895721321204536,0.49363674673409186,0.34951538137378846,0.41955330804888324,0.2550779603876949,0.359039190897598,0.19216182048040456,-0.07408343868520861
empty-free control (51 datasets / 33 strict units),accuracy,11781,51,0.007809184279772515,0.4751625712096943,0.34810020071074704,0.6435783563585429,0.4275528393175452,0.18334606569900688,0.6460402342755284,0.4261947203123674,0.364654952890247,0.14158390628978865,0.2184873949579832
empty-free control (51 datasets / 33 strict units),brier,11781,51,0.0,0.4903212558748569,0.26079327708937244,1.0398552526905784,0.6608946608946609,0.4430863254392666,0.802818096935744,0.5828028180969358,0.5775401069518716,0.27400050929462694,0.14192343604108315
empty-free control (51 datasets / 33 strict units),coverage,11781,51,0.0028011204481792717,0.6128144301419167,0.4749192558976408,0.8003927714293263,0.10432051608522197,0.004583651642475172,0.34547152194211017,0.08012902130549189,0.04965622612681436,8.48824378236143e-05,0.2411510058568882
empty-free control (51 datasets / 33 strict units),eps,11781,51,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
empty-free control (51 datasets / 33 strict units),width,11781,51,0.00042441218911807145,1.1045204457883768,0.8342668944877263,1.492090315813373,0.6923011628893981,0.47771836007130125,0.6462948815889993,0.405143875732111,0.5435022493846023,0.29530600118835415,-0.046006281300398855
empty-free control (51 datasets / 33 strict units),width_fb,11781,51,0.00042441218911807145,1.1045204457883768,0.8342668944877263,1.492090315813373,0.6923011628893981,0.47771836007130125,0.6462948815889993,0.405143875732111,0.5435022493846023,0.29530600118835415,-0.046006281300398855
76 strict units (collapse),accuracy,17556,76,0.02113237639553429,0.4836296509165955,0.3546759349095472,0.663647838165241,0.48946229209387104,0.23365231259968103,0.6874003189792663,0.48769651401230346,0.4294827979038505,0.1964570517202096,0.1979380268853953
