model,apsdet_cov,apsdet_Phat,apsdet_R,apsdet_absR,apsdet_width,apsdet_width_fb,apsmapie_cov,apsmapie_Phat,apsmapie_R,apsmapie_absR,apsmapie_width,apsmapie_width_fb,raps_cov,raps_Phat,raps_R,raps_absR,raps_width,raps_width_fb,lac_cov,lac_Phat,lac_R,lac_absR,lac_width,lac_width_fb,acc,family
mitra@v2,0.9987558257648801,0.9986345232665507,0.00012130249832932777,0.0003732007643540904,2.401627967602398,2.401627967602398,0.985629558780812,0.983879962434908,0.001749596345904049,0.0044719166642772324,1.5557391064377573,1.5557391064377573,0.9872432887034981,0.9854910466854421,0.0017522420180560174,0.004215603763405503,1.5852123347380178,1.5852123347380178,0.9018155694715703,0.8977312175307103,0.004084351940859928,0.009522050507353021,1.220775713352446,1.252705984872585,0.8470718059887928,TFM
mitra,0.9982291481231433,0.9976194918856265,0.0006096562375168759,0.0007550359320378658,2.3907312521849806,2.3907312521849806,0.9853386707187396,0.9803563792473693,0.004982291471370394,0.006875791482392974,1.6295303896053495,1.6295303896053495,0.9869013775921752,0.9824298827965733,0.004471494795601975,0.006357301647313428,1.6574532596670184,1.6574532596670184,0.9010793856751586,0.891474021672021,0.00960536400313751,0.014290068180277334,1.2744430948475196,1.3025808987969343,0.8288993139218487,TFM
tabpfn,0.9986685125142143,0.9991362699256039,-0.00046775741138966464,0.0005705525052692509,2.4208851600234285,2.4208851600234285,0.9812789101798024,0.9868383910822454,-0.005559480902443003,0.0073286630158940404,1.5979599914483171,1.5979599914483171,0.9833163122888868,0.9883872512339329,-0.005070938945046067,0.006795706345099672,1.6288830355191237,1.6288830355191237,0.902289446591357,0.9141579953562085,-0.011868548764851243,0.015842406794662298,1.283272951066156,1.310823636550055,0.8260237682649925,TFM
catboost,0.9983940129054255,0.9981682317935945,0.00022578111183102262,0.002121216864752008,2.3968666276060993,2.3968666276060993,0.9732267361053188,0.9874600679295394,-0.014233331824220548,0.02201216721038503,1.547353851869544,1.547353851869544,0.976246116267896,0.9886678219138878,-0.01242170564599174,0.0198683348333201,1.5833251985616827,1.5833251985616827,0.9023151569880886,0.9260274335871179,-0.023712276599029133,0.03948810190376099,1.2824696648501817,1.3094923680443582,0.8259121024371857,GBDT
lightgbm,0.9973068057361051,0.9984857632357855,-0.0011789574996803243,0.002196654426329503,2.379921942563327,2.379921942563327,0.9759310131041603,0.9861565879637058,-0.010225574859545485,0.017444904768273754,1.5821766102667407,1.5821766102667407,0.9786543311237549,0.9872640039539068,-0.008609672830151762,0.015473168368733132,1.614144408116885,1.614144408116885,0.902146692621826,0.9136832151972651,-0.01153652257543913,0.030957837957980024,1.2901959468004867,1.3162226019826626,0.8234111679523188,GBDT
xgboost,0.9961961012358089,0.9714342265894589,0.02476187464635011,0.02861081389177046,2.3335260238560607,2.3335260238560607,0.9740732988215912,0.945256670783356,0.02881662803823523,0.05446828535352655,1.5904902015953142,1.5904902015953142,0.976390250768845,0.9478616044416354,0.0285286463272096,0.0513911351726485,1.6163206702770005,1.6163206702770005,0.9034643266988537,0.8659422039868474,0.037522122712006334,0.07474363391751171,1.287574666225764,1.3128571449801312,0.8242159253436816,GBDT
tabm,0.9981110028591996,0.9983656081149072,-0.0002546052557074653,0.0008792709543559563,2.3429261160841017,2.3429261160841017,0.9817370116702262,0.9830151351790174,-0.0012781235087912513,0.008960891442006503,1.63556342332478,1.63556342332478,0.983631848667364,0.9848948952215604,-0.001263046554196392,0.008303187698987592,1.6640166756785817,1.6640166756785817,0.9036329174235795,0.9058211181136322,-0.0021882006900527597,0.01733230696057786,1.310371938404177,1.3348792388371253,0.816909863036007,deep
ftt,0.9976918542982137,0.9959308984570846,0.0017609558411291594,0.0029672991018957883,2.2990898948555922,2.2990898948555922,0.9788940984818906,0.9797064618052188,-0.0008123633233282319,0.01425174024926762,1.621324048918548,1.621324048918548,0.9810760367824738,0.9813925971373058,-0.00031656035483194694,0.013255522978580058,1.64697483380909,1.64697483380909,0.9023761640767001,0.9062665469416133,-0.003890382864913194,0.02499046282955883,1.3171891844033148,1.3429063860024764,0.8151648973678222,deep
resnet,0.9975504481045286,0.9972052656950551,0.0003451824094736242,0.0029176182024207627,2.471071587891375,2.471071587891375,0.9736176147920568,0.9830241450787427,-0.00940653028668593,0.021645246532930262,1.6365666747292014,1.6365666747292014,0.9761280973491836,0.9850978589448187,-0.00896976159563507,0.019677309720545967,1.6721279662348643,1.6721279662348643,0.9023998523647956,0.9154302538970345,-0.013030401532238826,0.03490185604203093,1.3389534207137637,1.362744256785464,0.8140982811951473,deep
mlp,0.9972789232115248,0.9988356135599643,-0.0015566903484394913,0.002441059709589698,2.3238379691177036,2.3238379691177036,0.9739101348846858,0.9880407640970424,-0.014130629212356458,0.01925991930380653,1.628337676785965,1.628337676785965,0.9767587479223909,0.9892222998060155,-0.012463551883624557,0.017660023548025868,1.661009418163528,1.661009418163528,0.9033301709386903,0.9223416120620028,-0.019011441123312607,0.03171543522053306,1.3377075727802112,1.3590632147738602,0.8114951371964957,deep
LogReg,0.9979551154447546,0.9983268047342868,-0.00037168928953217604,0.0011449904541955178,2.365839025242851,2.365839025242851,0.981103843799974,0.9792838010426339,0.0018200427573400347,0.009028162209171253,1.727959307545441,1.727959307545441,0.9832731887952267,0.9816090498712862,0.0016641389239406758,0.008396679478163518,1.7588082218775527,1.7588082218775527,0.9031264934148929,0.8977494432658824,0.005377050149010526,0.01704162167856883,1.3601474174024906,1.3787345585274688,0.7982721673629821,classic
knn,0.980658888159933,0.9973639650543396,-0.016705076894406583,0.020891054911241165,1.9179430611591564,1.9179430611591564,0.9720143433370241,0.9834956680973049,-0.011481324760280865,0.026888221109834038,1.6970554787731462,1.6970554787731462,0.9730066615459126,0.9848724169026875,-0.011865755356774884,0.02660644039290699,1.7107967558039598,1.7107967558039598,0.9102568829561501,0.9039996420011451,0.006257240955004907,0.03261984127806429,1.453686895766527,1.4672920529747047,0.7918154720438098,classic
