block,alpha,family,acc,lf_coverr,lftr_coverr,lac_coverr,pass_lf,pass_lf_phi,pass_lftr,pass_lac,lf_eps,lac_eps,lf_width,lf_width_fb,lac_width,lac_width_fb,tau_err
D29,0.1,TFM,0.8168859574557445,0.0124050646530412,0.0119505542149709,0.0056955332079846,0.6416666666666667,0.6416666666666667,0.6635057471264368,0.9238505747126436,0.020874593060666,0.0165468008818338,1.219157281925046,1.2400318749857122,1.2351338377834895,1.2516806386653234,0.0191535806861416
D29,0.1,GBDT,0.8055108786870496,0.0249448630951258,0.0247214668920756,0.0079375655767574,0.4781609195402299,0.4781609195402299,0.4839080459770115,0.9126436781609196,0.0219966158419498,0.012472575395179,1.23211967481602,1.25411629065797,1.2632881175503017,1.2757606929454808,0.0514691443804892
D29,0.1,deep,0.7964679637562915,0.023086112569434,0.0231382206970343,0.0092767436657498,0.521551724137931,0.521551724137931,0.5344827586206896,0.8905172413793103,0.0155873084738075,0.0115477860371788,1.2532712948214555,1.2688586032952631,1.2892934749890694,1.3008412610262483,0.0360611129393434
D29,0.1,classic,0.7643808455168954,0.0190312588051387,0.0188303190683473,0.0077947419812355,0.5413793103448276,0.5413793103448276,0.5379310344827586,0.8706896551724138,0.0117406921632451,0.0108062194397165,1.376652494023808,1.388393186187053,1.3923099600327449,1.4031161794724614,0.0339148885479939
D29,0.2,TFM,0.8168859574557445,0.0174675697288489,0.016143926578792,0.0083512324321698,0.6433908045977011,0.6433908045977011,0.6718390804597701,0.9244252873563218,0.0812571304624449,0.0726468606476723,1.0030228888672463,1.0842800193296915,1.014340585316671,1.0869874459643434,0.0159913658410652
D29,0.2,GBDT,0.8055108786870496,0.029467915892417,0.0284303235893455,0.011956326719517,0.5747126436781609,0.5747126436781609,0.5862068965517242,0.8885057471264367,0.0809124669418369,0.0692880712802758,1.0282515085999455,1.1091639755417824,1.0465792392963855,1.1158673105766612,0.0287462749763524
D29,0.2,deep,0.7964679637562915,0.0274138650602185,0.026472409797771,0.0128448125078455,0.5939655172413794,0.5939655172413794,0.6017241379310345,0.8974137931034483,0.0712074423721848,0.056439670463596,1.0367490254290566,1.1079564678012417,1.0609069908724056,1.1173466613360017,0.0285970585013493
D29,0.2,classic,0.7643808455168954,0.0219838854290638,0.0217781367100871,0.0091071364650963,0.5689655172413793,0.5689655172413793,0.5620689655172414,0.8810344827586207,0.058017429080043,0.052466785712465,1.133322945278788,1.191340374358831,1.142535175371881,1.195001961084346,0.0204174835543207
DK10,0.05,TFM,0.8400999200795591,0.013836035034801,0.0109308128369434,0.0079956709013329,0.67,0.67,0.74,0.95,0.0169029545454545,0.0169896075779174,2.208297084859213,2.2252000394046676,2.166506990738019,2.183496598315936,0.0319641678035258
DK10,0.05,GBDT,0.7989240483314308,0.0403195789098657,0.040239529893238,0.0082981995439497,0.48,0.48,0.3999999999999999,0.9733333333333332,0.014896704896434,0.012603106060606,10.126204512035292,10.141101216931729,2.934617532445225,2.947220638505831,0.0632930297145331
