model,family,n_datasets,auc,auc_lo,auc_hi,eps,eps_lo,eps_hi,commit_pt,commit_pt_lo,commit_pt_hi,commit_run,commit_run_lo,commit_run_hi,sscs,sscs_lo,sscs_hi,sscsp,sscsp_lo,sscsp_hi,cov,cov_lo,cov_hi,width,width_lo,width_hi
PFN-v2,TFM,113,0.8899424980421257,0.8710672899929819,0.9084006549810604,0.031240932084230292,0.023592022486043245,0.039200031415824114,0.9687590679157697,0.9607999685841758,0.9764079775139567,0.584070796460177,0.4946902654867257,0.6690265486725663,0.49663415498741154,0.4194300543231786,0.5693207228679323,0.9016177389209586,0.8855925668049744,0.9169501929007663,0.9010585637512156,0.8990482089634506,0.9031410054873238,1.2336149066287332,1.151770367550198,1.323396582477186
mitra,TFM,113,0.878301855788957,0.8581746244319379,0.897977211001005,0.028137803949414703,0.02100971809349551,0.03549340425337229,0.9718621960505854,0.9645065957466278,0.9789902819065045,0.6088495575221239,0.5194690265486726,0.6964823008849559,0.5128844257843597,0.43645317928439126,0.5880206811804444,0.8927219600989623,0.8760501776422734,0.9085793613086102,0.9010793856751586,0.899205040276525,0.9029849677654433,1.2744430948475196,1.1830895623309432,1.3754411405452385
tabpfn,TFM,113,0.8750513586919992,0.8540813702251377,0.8951854821767663,0.027550685483899103,0.020581884746119126,0.034949510661475454,0.972449314516101,0.9650504893385246,0.9794181152538809,0.6185840707964603,0.5300884955752212,0.7061946902654869,0.5206801472131656,0.44563922140850504,0.5941313130461618,0.8916613154611788,0.8759094137925882,0.907836076954251,0.9022894465913572,0.9004346389851079,0.9040822140323128,1.2832729510661558,1.1909053162839658,1.3842341129323024
catboost,GBDT,113,0.8680618814618216,0.846103994881278,0.8898104918767396,0.027022703194176587,0.01983642707197948,0.03458597904206983,0.9729772968058235,0.9654140209579302,0.9801635729280206,0.6283185840707964,0.5433628318584071,0.7115044247787611,0.5255269684091602,0.4535428561695953,0.5942509533109889,0.8868076457199843,0.8694184801254834,0.9040737849171081,0.9023151569880887,0.9003322794660238,0.9042852127280866,1.2824696648501817,1.1926928597675877,1.3799077030635645
xgboost,GBDT,113,0.867512436620219,0.845292538721441,0.8890213673499626,0.025282478754367038,0.018346820637542526,0.03257332952924562,0.9747175212456329,0.9674266704707544,0.9816531793624574,0.6469026548672566,0.5610619469026549,0.7265707964601771,0.5453417753215829,0.47131110326316966,0.6133435041293638,0.8881999249486948,0.8703681925991523,0.9050735693004568,0.9034643266988537,0.900886249451217,0.9063879375448911,1.2875746662257643,1.1988720116794986,1.3847310875618744
lightgbm,GBDT,113,0.8672796540267912,0.8449293272675644,0.8885609180203377,0.026026655182175982,0.018915062692621932,0.033521933595739364,0.973973344817824,0.9664780664042607,0.9810849373073781,0.6345132743362832,0.5486725663716814,0.715929203539823,0.5324001746004372,0.4603590583974853,0.6019301472506516,0.8871606291207488,0.8693008711091026,0.9040329531247504,0.902146692621826,0.8999070581744762,0.9044734438695492,1.2901959468004867,1.200826075630393,1.388544160024384
tabm,deep,113,0.8569936698216792,0.8331151131380534,0.8803543305959539,0.024507300432948312,0.017787486518605598,0.0316886501877585,0.9754926995670518,0.9683113498122414,0.9822125134813943,0.6592920353982301,0.572566371681416,0.7389380530973452,0.5484885791499863,0.4745875408923897,0.6164583984377826,0.8801739130325719,0.8597361948825251,0.8991935372513832,0.9036329174235795,0.9013924767222946,0.9063408935147866,1.310371938404177,1.2152821449111986,1.4123522110650704
ftt,deep,113,0.8535571725502211,0.829804472219834,0.8770276564552293,0.025714862622709708,0.018715900684509127,0.03316336784172307,0.9742851373772904,0.9668366321582769,0.9812840993154909,0.6460176991150443,0.5592920353982301,0.7283185840707964,0.5340041388661791,0.4621449540647406,0.6026894032683341,0.8779420089694728,0.8581253210863082,0.8970806281081517,0.9023804934682841,0.9007126528166266,0.9040717607550273,1.3171673509772757,1.2196213335057726,1.4209186837799863
resnet,deep,113,0.8512855738925774,0.828615387319327,0.8736271318074589,0.023792884580385882,0.017368822225887103,0.030573874313112863,0.9762071154196141,0.9694261256868872,0.9826311777741129,0.6327433628318584,0.5460176991150444,0.7168141592920354,0.521975695844351,0.45025421709339924,0.5933803986354128,0.8760997909988295,0.8578007660753934,0.894067371292769,0.9024096852064869,0.9005026204050872,0.9043126424382611,1.338893194558405,1.2331112089323115,1.4569818130044254
mlp,deep,113,0.8496451972618977,0.8275192403711378,0.8717677589008995,0.021356461397123185,0.015352688717803651,0.027692146544141708,0.9786435386028768,0.9723078534558582,0.9846473112821963,0.6469026548672566,0.5601769911504425,0.7292256637168143,0.5317250158903609,0.4610413844307125,0.6007822657094558,0.8716196859856769,0.8523356432876873,0.890669941579825,0.9033186992900505,0.9012463805973919,0.90533059258061,1.3377608340060387,1.235732046050612,1.4512969148540367
