model,lf_coverr,lftr_coverr,lac_coverr,lf_eps,lftr_eps,lac_eps,lf_width,lf_width_fb,lftr_width,lftr_width_fb,lac_width,lac_width_fb,tau_err,lf_covbias,lftr_covbias,pass_lf_plain,pass_lf_phi,pass_lf_phiZ,pass_lftr_plain,pass_lftr_phi,pass_lac_plain,pass_lac_phi,acc,family
mitra@v2,0.012509066667794342,0.009238222275899544,0.011861958842998519,0.03101826638242165,0.031175049670814695,0.031930271520139136,1.2265906689364865,1.2576089353189082,1.227350978628911,1.258526028299726,1.220775713352446,1.252705984872585,0.021584108524617854,0.003065541191243378,0.0030014851837056023,0.9522123893805309,0.9522123893805309,0.9575221238938053,0.9681415929203541,0.9681415929203541,0.9654867256637167,0.9654867256637167,0.8470718059887928,TFM
mitra,0.014949487767757928,0.013188327180589814,0.010902748595063854,0.02496893237788396,0.025492120450861064,0.028137803949414703,1.3048994427987903,1.3298683751766744,1.3053956495310342,1.3308877699818953,1.2744430948475196,1.3025808987969343,0.028976643738229675,0.008303438215975144,0.007910445607141601,0.9141592920353983,0.9141592920353983,0.9238938053097345,0.9185840707964602,0.9185840707964602,0.9814159292035399,0.9814159292035399,0.8288993139218487,TFM
tabpfn,0.01914710053741333,0.017468041921882695,0.011313100618488371,0.03193958002080354,0.033493898252988125,0.0275506854838991,1.2332612630200068,1.2652008430408106,1.2328640432178517,1.2663579414708397,1.283272951066156,1.310823636550055,0.049073146705606294,-0.012970898065964848,-0.013866361145874907,0.8371681415929203,0.8371681415929203,0.8513274336283186,0.8628318584070797,0.8628318584070797,0.9858407079646018,0.9858407079646018,0.8260237682649925,TFM
catboost,0.0537581697565164,0.05206842820942226,0.01255573625647783,0.041609920481296206,0.04240739853702705,0.027022703194176587,1.1635581857252348,1.2051681062065311,1.1632708468279083,1.2056782453649355,1.2824696648501817,1.3094923680443582,0.14004351720036343,-0.04197846113945847,-0.04217073245102967,0.5256637168141592,0.5256637168141592,0.54070796460177,0.5336283185840708,0.5336283185840708,0.9690265486725663,0.9690265486725663,0.8259121024371857,GBDT
lightgbm,0.037970842976518725,0.036325239894528925,0.013203294140200612,0.03664060580338967,0.03739980279952697,0.026026655182175982,1.2213923966855982,1.2580330024889879,1.221053812009846,1.258453614809373,1.2901959468004867,1.3162226019826626,0.09807627542557293,-0.022803422530178294,-0.023139585466284578,0.6867256637168141,0.6867256637168141,0.7008849557522124,0.7026548672566372,0.7026548672566372,0.9513274336283186,0.9513274336283186,0.8234111679523188,GBDT
xgboost,0.04695273873017364,0.04585377149051838,0.014584854109691969,0.03283936197498821,0.033166711509369014,0.025282478754367038,1.477210264783535,1.5100496267585235,1.4772529979489,1.510419709458269,1.287574666225764,1.3128571449801312,0.1131110403275863,-0.0047328474959813065,-0.005038491817372655,0.547787610619469,0.547787610619469,0.5592920353982301,0.5699115044247788,0.5699115044247788,0.9460176991150443,0.9460176991150443,0.8242159253436816,GBDT
tabm,0.02164424476921915,0.019783114475774324,0.01292601619903852,0.025979907273178195,0.026439748931744556,0.024507300432948312,1.2880137764903206,1.3139936837634987,1.287550682441125,1.3139904313728694,1.310371938404177,1.3348792388371253,0.0472139013881704,-0.003228879718788423,-0.0038286187980339555,0.8283185840707964,0.8283185840707964,0.8451327433628318,0.8451327433628318,0.8451327433628318,0.9672566371681416,0.9672566371681416,0.816909863036007,deep
ftt,0.02669442011719261,0.025216038034894774,0.011893922011480738,0.03037802657325899,0.030407177179676136,0.025717201599161427,1.2790797520214083,1.309457778594667,1.2794111855240908,1.3098183627037672,1.3171891844033148,1.3429063860024764,0.06037985274024238,-0.012124132052995708,-0.012143154913683155,0.7646017699115045,0.7646017699115045,0.7778761061946903,0.7761061946902655,0.7761061946902655,0.9849557522123894,0.9849557522123894,0.8151648973678222,deep
resnet,0.04219113237375068,0.041467950454003574,0.01266642839369451,0.03360613524171075,0.03451411875439405,0.023790836071700204,1.2623573789400477,1.2959635141817587,1.2621172032588317,1.296631322013226,1.3389534207137637,1.362744256785464,0.11511897333078441,-0.024766868082895924,-0.025315917421344127,0.6176991150442478,0.6176991150442478,0.631858407079646,0.6212389380530974,0.6212389380530974,0.9761061946902655,0.9761061946902655,0.8140982811951473,deep
mlp,0.03859867490476483,0.038018192892083094,0.013128583659365287,0.03335064406348082,0.03490969055997736,0.02135564199364891,1.2372007947833783,1.2705514388468593,1.2356209665753326,1.27053065713531,1.3377075727802112,1.3590632147738602,0.1036178899739262,-0.027377562575224505,-0.028609912952953506,0.6601769911504425,0.6601769911504425,0.6716814159292036,0.6654867256637168,0.6654867256637168,0.9681415929203541,0.9681415929203541,0.8114951371964957,deep
